src_team,src_image,win,team,slot_index,hero,kills,assists,deaths,damage,heal,mitig
blue,blue_2025-11-26_02-48-43.png,0,red,0,winston,10,1,14,6762,2377,16260
blue,blue_2025-11-26_02-48-43.png,0,red,1,genji,20,0,14,11151,378,3507
blue,blue_2025-11-26_02-48-43.png,0,red,2,ashe,19,2,13,15198,0,0
blue,blue_2025-11-26_02-48-43.png,0,red,3,zenyatta,18,20,10,8338,9724,0
blue,blue_2025-11-26_02-48-43.png,0,red,4,ana,7,17,11,3543,11921,1201
blue,blue_2025-11-26_02-49-17.png,1,blue,0,winston,21,4,6,10325,1142,13267
blue,blue_2025-11-26_02-49-17.png,1,blue,1,soldier,29,4,0,10917,364,115
blue,blue_2025-11-26_02-49-17.png,1,blue,2,tracer,20,0,4,7040,0,0
blue,blue_2025-11-26_02-49-17.png,1,blue,3,wuyang,7,6,7,6256,6129,861
blue,blue_2025-11-26_02-49-17.png,1,blue,4,ana,15,14,8,3525,6710,211
blue,blue_2025-11-26_02-49-17.png,0,red,0,doomfist,18,6,9,7401,498,4146
blue,blue_2025-11-26_02-49-17.png,0,red,1,soldier,18,2,11,11257,1781,0
blue,blue_2025-11-26_02-49-17.png,0,red,2,genji,15,0,7,5777,216,1286
blue,blue_2025-11-26_02-49-17.png,0,red,3,ana,7,16,5,6017,6847,501
blue,blue_2025-11-26_02-49-17.png,0,red,4,brigitte,12,16,6,3887,10156,4097
blue,blue_2025-11-26_02-49-27.png,1,blue,0,orisa,18,7,3,8942,0,7324
blue,blue_2025-11-26_02-49-27.png,1,blue,1,tracer,20,0,6,6301,0,6
blue,blue_2025-11-26_02-49-27.png,1,blue,2,genji,18,0,7,6093,0,1123
blue,blue_2025-11-26_02-49-27.png,1,blue,3,kiriko,16,16,4,6675,5852,0
blue,blue_2025-11-26_02-49-27.png,1,blue,4,ana,4,14,3,1884,8854,350
blue,blue_2025-11-26_02-49-27.png,0,red,0,orisa,18,5,5,8163,0,8007
blue,blue_2025-11-26_02-49-27.png,0,red,1,soldier,7,2,0,6098,859,0
blue,blue_2025-11-26_02-49-27.png,0,red,2,cassidy,16,3,7,5740,0,124
blue,blue_2025-11-26_02-49-27.png,0,red,3,kiriko,4,16,8,2538,7450,0
blue,blue_2025-11-26_02-49-27.png,0,red,4,ana,9,13,5,4213,7671,942
blue,blue_2025-11-26_02-49-50.png,1,blue,0,ramattra,21,3,7,11678,661,12370
blue,blue_2025-11-26_02-49-50.png,1,blue,1,echo,39,0,12,16595,482,7
blue,blue_2025-11-26_02-49-50.png,1,blue,2,genji,32,2,11,13059,520,1430
blue,blue_2025-11-26_02-49-50.png,1,blue,3,lucio,29,9,8,7457,10637,1455
blue,blue_2025-11-26_02-49-50.png,1,blue,4,kiriko,24,7,0,8862,10399,298
blue,blue_2025-11-26_02-49-50.png,0,red,0,winston,30,1,10,14735,0,19003
blue,blue_2025-11-26_02-49-50.png,0,red,1,tracer,24,2,14,13967,230,706
blue,blue_2025-11-26_02-49-50.png,0,red,2,sojourn,16,0,20,10560,260,1729
blue,blue_2025-11-26_02-49-50.png,0,red,3,ana,12,24,12,3049,14065,325
blue,blue_2025-11-26_02-49-50.png,0,red,4,kiriko,10,25,11,6069,12086,395
blue,blue_2025-11-26_02-49-59.png,1,blue,0,wrecking_ball,21,7,2,14421,0,7090
blue,blue_2025-11-26_02-49-59.png,1,blue,1,freja,20,3,8,10601,87,0
blue,blue_2025-11-26_02-49-59.png,1,blue,2,cassidy,7,5,3,7975,802,2314
blue,blue_2025-11-26_02-49-59.png,1,blue,3,wuyang,11,6,2,5341,13465,328
blue,blue_2025-11-26_02-49-59.png,1,blue,4,kiriko,14,12,7,4821,10453,707
blue,blue_2025-11-26_02-49-59.png,0,red,0,sigma,9,1,5,13556,1058,18576
blue,blue_2025-11-26_02-49-59.png,0,red,1,freja,8,0,10,10154,304,105
blue,blue_2025-11-26_02-49-59.png,0,red,2,sojourn,10,0,7,15569,199,0
blue,blue_2025-11-26_02-49-59.png,0,red,3,brigitte,6,14,8,3417,10446,1761
blue,blue_2025-11-26_02-49-59.png,0,red,4,moira,13,7,5,8324,12600,284
blue,blue_2025-11-26_02-50-31.png,1,blue,0,sigma,19,2,2,7577,0,10282
blue,blue_2025-11-26_02-50-31.png,1,blue,1,genji,18,0,2,6007,0,505
blue,blue_2025-11-26_02-50-31.png,1,blue,2,sojourn,21,0,3,6605,0,0
blue,blue_2025-11-26_02-50-31.png,1,blue,3,moira,29,9,1,6967,7247,0
blue,blue_2025-11-26_02-50-31.png,1,blue,4,lucio,14,7,2,3091,4485,354
blue,blue_2025-11-26_02-50-31.png,0,red,0,reinhardt,4,2,7,6119,699,7236
blue,blue_2025-11-26_02-50-31.png,0,red,1,cassidy,8,0,7,4873,0,26
